player,team,proj_pts,pos
Ollie Gordon II,MIA,1.68,RB
Audric Estime,DEN,1.65,RB
Jordan James,SF,1.64,RB
Isaiah Davis,NYJ,1.54,RB
Amar Johnson,GB,1.53,RB
Chris Brooks,GB,1.5,RB
Clyde Edwards-Helaire,NO,1.46,RB
Emari Demercado,ARI,1.36,RB
Kimani Vidal,LAC,1.34,RB
Sincere McCormick,LV,1.25,RB
Ty Chandler,MIN,1.24,RB
Chris Rodriguez Jr.,WAS,1.19,RB
Cam Akers,NO,1.15,RB
Dameon Pierce,HOU,1.08,RB
Patrick Taylor Jr.,SF,1.03,RB
Kalel Mullings,TEN,1.02,RB
Damien Martinez,SEA,1.01,RB
Michael Burton,DEN,0.98,RB
Tyler Goodson,IND,0.94,RB
Craig Reynolds,DET,0.93,RB
Rasheen Ali,BAL,0.87,RB
Jeremy McNichols,WAS,0.86,RB
Alec Ingold,MIA,0.86,RB
Raheem Blackshear,CAR,0.86,RB
Michael Carter,ARI,0.86,RB
C.J. Ham,MIN,0.82,RB
Travis Homer,CHI,0.82,RB
Pierre Strong Jr.,CLE,0.75,RB
Ronnie Rivers,LAR,0.73,RB
Carson Steele,KC,0.72,RB
LeQuint Allen Jr.,JAC,0.71,RB
Kenny McIntosh,SEA,0.64,RB
Jordan Mims,TEN,0.64,RB
Dare Ogunbowale,HOU,0.63,RB
Julius Chestnut,TEN,0.59,RB
Israel Abanikanda,GB,0.58,RB
Hassan Haskins,LAC,0.55,RB
Patrick Ricard,BAL,0.54,RB
Frank Gore Jr.,BUF,0.51,RB
Deuce Vaughn,DAL,0.51,RB
Gary Brightwell,CIN,0.47,RB
Eric Gray,NYG,0.41,RB
Hunter Luepke,DAL,0.4,RB
Jashaun Corbin,ATL,0.38,RB
J.J. Taylor,HOU,0.36,RB
DeeJay Dallas,ARI,0.35,RB
Darrynton Evans,BUF,0.35,RB
Jase McClellan,TB,0.34,RB
Trey Sermon,PIT,0.28,RB
Zonovan Knight,ARI,0.28,RB
Elijah Dotson,ATL,0.26,RB
Velus Jones Jr.,NO,0.26,RB
Terrell Jennings,NE,0.25,RB
Robbie Ouzts,SEA,0.17,RB
Scott Matlock,LAC,0.17,RB
Dylan Laube,LV,0.17,RB
Lan Larison,NE,0.15,RB
Raheim Sanders,LAC,0.14,RB
Ameer Abdullah,SF,0.14,RB
Carlos Washington Jr.,ATL,0.12,RB
Trayveon Williams,CLE,0.11,RB
Avery Williams,PHI,0.11,RB
Tyler Badie,DEN,0.1,RB
Phil Mafah,DAL,0.1,RB
Jeff Wilson Jr.,SF,0.1,RB
George Holani,SEA,0.09,RB
D'Ernest Johnson,BAL,0.09,RB
Keilan Robinson,PHI,0.08,RB
Sione Vaki,DET,0.06,RB
JaMycal Hasty,NE,0.06,RB
Myles Gaskin,BAL,0.0,RB
Nyheim Miller-Hines,LAC,0.0,RB
Alexander Mattison,MIA,0.0,RB
Andrew Beck,NYJ,0.0,RB
Jakob Johnson,HOU,0.0,RB
Ke'Shawn Vaughn,SF,0.0,RB
Salvon Ahmed,IND,0.0,RB
Reggie Gilliam,BUF,0.0,RB
Jonathan Ward,NYG,0.0,RB
Jermar Jefferson,TEN,0.0,RB
Demetric Felton Jr.,WAS,0.0,RB
Kene Nwangwu,NYJ,0.0,RB
Jaret Patterson,LAC,0.0,RB
Deon Jackson,DET,0.0,RB
Keaontay Ingram,KC,0.0,RB
Brittain Brown,CHI,0.0,RB
Malik Davis,DAL,0.0,RB
Evan Hull,PIT,0.0,RB
Lew Nichols III,PIT,0.0,RB
Deneric Prince,NE,0.0,RB
Ben VanSumeren,PHI,0.0,RB
Brady Russell,SEA,0.0,RB
Owen Wright,TB,0.0,RB
Jonathon Brooks,CAR,0.0,RB
Jawhar Jordan,HOU,0.0,RB
Dante Miller,NYG,0.0,RB
Blake Watson,DEN,0.0,RB
Jacob Saylors,DET,0.0,RB
British Brooks,HOU,0.0,RB
Cody Schrader,LAR,0.0,RB
Kendall Milton,CIN,0.0,RB
Chris Collier,LV,0.0,RB
Donovan Edwards,NYJ,0.0,RB
Corey Kiner,SF,0.0,RB
Ja'Marr Chase,CIN,17.15,WR
Justin Jefferson,MIN,15.22,WR
CeeDee Lamb,DAL,14.65,WR
Puka Nacua,LAR,14.06,WR
Malik Nabers,NYG,13.94,WR
Amon-Ra St. Brown,DET,13.81,WR
Nico Collins,HOU,13.5,WR
Brian Thomas Jr.,JAC,13.41,WR
Drake London,ATL,12.8,WR
Tyreek Hill,MIA,12.66,WR
A.J. Brown,PHI,12.66,WR
Ladd McConkey,LAC,12.31,WR
Tee Higgins,CIN,12.02,WR
Mike Evans,TB,11.97,WR
Davante Adams,LAR,11.88,WR
Terry McLaurin,WAS,11.85,WR
Jaxon Smith-Njigba,SEA,11.77,WR
Marvin Harrison Jr.,ARI,11.43,WR
DK Metcalf,PIT,11.4,WR
Garrett Wilson,NYJ,11.2,WR
DJ Moore,CHI,10.94,WR
Zay Flowers,BAL,10.75,WR
Courtland Sutton,DEN,10.75,WR
Xavier Worthy,KC,10.69,WR
DeVonta Smith,PHI,10.49,WR
Calvin Ridley,TEN,10.41,WR
Jerry Jeudy,CLE,10.13,WR
Jameson Williams,DET,10.11,WR
George Pickens,DAL,10.09,WR
Jakobi Meyers,LV,9.99,WR
Deebo Samuel Sr.,WAS,9.69,WR
Jaylen Waddle,MIA,9.66,WR
Jauan Jennings,SF,9.61,WR
Tetairoa McMillan,CAR,9.41,WR
Rashee Rice,KC,9.28,WR
Chris Godwin,TB,9.24,WR
Chris Olave,NO,9.22,WR
Stefon Diggs,NE,9.15,WR
Travis Hunter,JAC,9.14,WR
Jayden Reed,GB,8.95,WR
Rome Odunze,CHI,8.94,WR
Ricky Pearsall,SF,8.89,WR
Cooper Kupp,SEA,8.85,WR
Matthew Golden,GB,8.85,WR
Jordan Addison,MIN,8.71,WR
Khalil Shakir,BUF,8.57,WR
Keon Coleman,BUF,8.5,WR
Michael Pittman Jr.,IND,8.43,WR
Rashid Shaheed,NO,8.35,WR
Darnell Mooney,ATL,8.18,WR
Marvin Mims Jr.,DEN,7.77,WR
Josh Downs,IND,7.7,WR
Rashod Bateman,BAL,7.35,WR
Adam Thielen,CAR,7.21,WR
Marquise Brown,KC,7.14,WR
Keenan Allen,LAC,7.04,WR
Cedric Tillman,CLE,6.96,WR
Wan'Dale Robinson,NYG,6.84,WR
Xavier Legette,CAR,6.71,WR
Emeka Egbuka,TB,6.7,WR
Christian Kirk,HOU,6.47,WR
Jayden Higgins,HOU,6.39,WR
Romeo Doubs,GB,6.17,WR
Luther Burden III,CHI,6.08,WR
Tyler Lockett,TEN,6.08,WR
Brandon Aiyuk,SF,6.06,WR
DeMario Douglas,NE,6.06,WR
Joshua Palmer,BUF,5.93,WR
Michael Wilson,ARI,5.78,WR
Jack Bech,LV,5.71,WR
Tre' Harris,LAC,5.55,WR
Calvin Austin III,PIT,5.5,WR
Diontae Johnson,CLE,5.26,WR
Jalen McMillan,TB,5.25,WR
Quentin Johnston,LAC,5.19,WR
Alec Pierce,IND,5.13,WR
Kyle Williams,NE,5.09,WR
Dyami Brown,JAC,5.09,WR
Brandin Cooks,NO,5.01,WR
Tutu Atwell,LAR,4.99,WR
Darius Slayton,NYG,4.89,WR
Jalen Nailor,MIN,4.86,WR
Ray-Ray McCloud III,ATL,4.77,WR
DeAndre Hopkins,BAL,4.76,WR
Josh Reynolds,NYJ,4.73,WR
Nick Westbrook-Ikhine,MIA,4.72,WR
Jalen Tolbert,DAL,4.59,WR
Tre Tucker,LV,4.28,WR
Jordan Whittington,LAR,4.28,WR
Jalen Coker,CAR,4.23,WR
Andrei Iosivas,CIN,4.22,WR
Tory Horton,SEA,4.19,WR
Pat Bryant,DEN,4.0,WR
Marquez Valdes-Scantling,SEA,3.99,WR
Noah Brown,WAS,3.98,WR
Dont'e Thornton Jr.,LV,3.97,WR
Russell Gage Jr.,SF,3.92,WR
Dontayvion Wicks,GB,3.92,WR
Adonai Mitchell,IND,3.84,WR
Troy Franklin,DEN,3.79,WR
Allen Lazard,NYJ,3.76,WR
Elic Ayomanor,TEN,3.63,WR
Christian Watson,GB,3.62,WR
Jaylin Noel,HOU,3.6,WR
K.J. Osborn,WAS,3.59,WR
Curtis Samuel,BUF,3.46,WR
Anthony Miller,BAL,3.34,WR
Tai Felton,MIN,3.33,WR
Greg Dortch,ARI,3.26,WR
Malik Washington,MIA,3.19,WR
Kayshon Boutte,NE,3.13,WR
Ja'Lynn Polk,NE,3.12,WR
Van Jefferson,TEN,3.1,WR
Devaughn Vele,DEN,3.09,WR
Roman Wilson,PIT,2.94,WR
Parker Washington,JAC,2.86,WR
Tim Patrick,DET,2.81,WR
Skyy Moore,KC,2.81,WR
Demarcus Robinson,SF,2.65,WR
Jermaine Burton,CIN,2.64,WR
KaVontae Turpin,DAL,2.63,WR
Chimere Dike,TEN,2.62,WR
Tyler Johnson,NYJ,2.45,WR
JuJu Smith-Schuster,KC,2.32,WR
Luke McCaffrey,WAS,2.28,WR
Kendrick Bourne,NE,2.11,WR
Robert Woods,PIT,2.11,WR
Jalen Royals,KC,2.08,WR
Zay Jones,ARI,2.0,WR
A.T. Perry,DEN,1.98,WR
Jahan Dotson,PHI,1.91,WR
Kalif Raymond,DET,1.89,WR
Elijah Moore,BUF,1.8,WR
Jalin Hyatt,NYG,1.72,WR
Malachi Corley,NYJ,1.69,WR
Xavier Hutchinson,HOU,1.65,WR
Isaac TeSlaa,DET,1.63,WR
Michael Gallup,WAS,1.46,WR
Jake Bobo,SEA,1.46,WR
Irvin Charles,NYJ,1.46,WR
Jaylin Lane,WAS,1.41,WR
Arian Smith,NYJ,1.38,WR
Jha'Quan Jackson,TEN,1.38,WR
DJ Chark Jr.,ATL,1.36,WR
Tim Jones,MIN,1.32,WR
Erik Ezukanma,MIA,1.31,WR
Savion Williams,GB,1.29,WR
Xavier Restrepo,TEN,1.28,WR
Mack Hollins,NE,1.28,WR
KhaDarel Hodge,ATL,1.18,WR
DeAndre Carter,CLE,1.17,WR
Tylan Wallace,BAL,1.04,WR
Jamal Agnew,ATL,1.01,WR
Simi Fehoko,ARI,0.99,WR
Cedrick Wilson Jr.,NO,0.98,WR
Olamide Zaccheaus,CHI,0.95,WR
Hunter Renfrow,CAR,0.95,WR
KeAndre Lambert-Smith,LAC,0.85,WR
Bo Melton,GB,0.81,WR
Ben Skowronek,PIT,0.8,WR
Devontez Walker,BAL,0.78,WR
Maurice Alexander,CHI,0.73,WR
Samori Toure,CHI,0.72,WR
Dante Pettis,NO,0.71,WR
David Moore,CAR,0.7,WR
Bub Means,NO,0.7,WR
Malik Heath,GB,0.69,WR
Xavier Weaver,ARI,0.68,WR
Tommy Mellott,LV,0.63,WR
Johnny Wilson,PHI,0.61,WR
Justin Watson,HOU,0.58,WR
Derius Davis,LAC,0.53,WR
Charlie Jones,CIN,0.49,WR
Jonathan Mingo,DAL,0.49,WR
Kendric Pryor,CIN,0.48,WR
Trishton Jackson,ARI,0.46,WR
Jordan Watkins,SF,0.44,WR
Chris Blair,ATL,0.42,WR
Cody White,SEA,0.42,WR
Jalen Brooks,DAL,0.42,WR
Dareke Young,SEA,0.41,WR
Xavier Gipson,NYJ,0.41,WR
John Metchie III,HOU,0.41,WR
Bryce Oliver,TEN,0.4,WR
Sterling Shepard,TB,0.39,WR
Austin Trammell,JAC,0.39,WR
Lil'Jordan Humphrey,NYG,0.38,WR
Jamari Thrash,CLE,0.36,WR
Dee Eskridge,MIA,0.36,WR
David Bell,CLE,0.35,WR
Brycen Tremayne,CAR,0.34,WR
Scotty Miller,PIT,0.34,WR
Britain Covey,LAR,0.34,WR
Devin Duvernay,CHI,0.33,WR
Mecole Hardman Jr.,GB,0.31,WR
Tyler Scott,CHI,0.31,WR
Nick Nash,ATL,0.29,WR
Ainias Smith,PHI,0.26,WR
Rondale Moore,MIN,0.25,WR
Ryan Flournoy,DAL,0.22,WR
Anthony Gould,IND,0.21,WR
Laviska Shenault Jr.,BUF,0.21,WR
Jacob Cowing,SF,0.21,WR
Trent Sherfield Sr.,DEN,0.2,WR
Ashton Dulin,IND,0.2,WR
Tank Dell,HOU,0.2,WR
Isaiah Neyor,GB,0.2,WR
Steven Sims Jr.,SEA,0.19,WR
Isaiah Williams,CIN,0.19,WR
Tez Johnson,TB,0.18,WR
Miles Boykin,CHI,0.18,WR
Zach Pascal,NYG,0.18,WR
Jimmy Horn Jr.,CAR,0.15,WR
Tyquan Thornton,KC,0.12,WR
Trey Palmer,TB,0.11,WR
Jason Brownlee,KC,0.11,WR
Nikko Remigio,KC,0.11,WR
Braxton Berrios,HOU,0.11,WR
Chris Moore,WAS,0.11,WR
LaJohntay Wester,BAL,0.1,WR
Casey Washington,ATL,0.09,WR
Ihmir Smith-Marsette,NYG,0.05,WR
Xavier Smith,LAR,0.05,WR
Trenton Irwin,JAC,0.03,WR
Tom Kennedy,DET,0.0,WR
Mason Kinsey,TEN,0.0,WR
Laquon Treadwell,IND,0.0,WR
Trent Taylor,SF,0.0,WR
Keith Kirkwood,BAL,0.0,WR
Phillip Dorsett II,LV,0.0,WR
Equanimeous St. Brown,SF,0.0,WR
Brock Bowers,LV,11.92,TE
Trey McBride,ARI,11.27,TE
George Kittle,SF,10.92,TE
Sam LaPorta,DET,8.8,TE
Mark Andrews,BAL,8.66,TE
Travis Kelce,KC,8.65,TE
T.J. Hockenson,MIN,8.53,TE
David Njoku,CLE,8.16,TE
Tucker Kraft,GB,7.07,TE
Evan Engram,DEN,6.94,TE
Tyler Warren,IND,6.92,TE
Jake Ferguson,DAL,6.85,TE
Dallas Goedert,PHI,6.73,TE
Zach Ertz,WAS,6.66,TE
Dalton Kincaid,BUF,6.59,TE
Kyle Pitts Sr.,ATL,6.26,TE
Hunter Henry,NE,6.22,TE
Darren Waller,MIA,6.13,TE
Colston Loveland,CHI,6.05,TE
Jonnu Smith,PIT,6.05,TE
Cade Otton,TB,6.01,TE
Brenton Strange,JAC,5.95,TE
Mike Gesicki,CIN,5.82,TE
Isaiah Likely,BAL,5.75,TE
Chig Okonkwo,TEN,5.69,TE
Pat Freiermuth,PIT,5.55,TE
Juwan Johnson,NO,5.53,TE
Dalton Schultz,HOU,5.52,TE
Robbie Ouzts,SEA,5.17,TE
Tyler Higbee,LAR,5.12,TE
Theo Johnson,NYG,4.98,TE
Mason Taylor,NYJ,4.84,TE
Elijah Arroyo,SEA,4.74,TE
Will Dissly,LAC,4.17,TE
Ja'Tavion Sanders,CAR,4.14,TE
Noah Fant,CIN,4.1,TE
Tyler Conklin,LAC,4.01,TE
AJ Barner,SEA,3.56,TE
Noah Gray,KC,3.41,TE
Cole Kmet,CHI,3.34,TE
Michael Mayer,LV,2.89,TE
Austin Hooper,NE,2.88,TE
Foster Moreau,NO,2.86,TE
Dawson Knox,BUF,2.72,TE
Terrance Ferguson,LAR,2.68,TE
Harold Fannin Jr.,CLE,2.46,TE
Josh Oliver,MIN,2.43,TE
Tommy Tremble,CAR,2.2,TE
Luke Musgrave,GB,2.16,TE
Ben Sinnott,WAS,2.08,TE
Brock Wright,DET,1.99,TE
Oronde Gadsden II,LAC,1.96,TE
Jeremy Ruckert,NYJ,1.92,TE
Cade Stover,HOU,1.86,TE
Taysom Hill,NO,1.82,TE
Gunnar Helm,TEN,1.71,TE
Adam Trautman,DEN,1.65,TE
Josh Whyle,TEN,1.64,TE
Luke Schoonmaker,DAL,1.62,TE
Daniel Bellinger,NYG,1.55,TE
Charlie Woerner,ATL,1.54,TE
Julian Hill,MIA,1.5,TE
Jake Briningstool,KC,1.42,TE
Johnny Mundt,JAC,1.37,TE
Elijah Higgins,ARI,1.36,TE
Payne Durham,TB,1.35,TE
Darnell Washington,PIT,1.34,TE
Keleki Latu,BUF,1.3,TE
Jelani Woods,IND,1.25,TE
Grant Calcaterra,PHI,1.25,TE
Colby Parkinson,LAR,1.24,TE
Connor Heyward,PIT,1.22,TE
Nate Adkins,DEN,1.22,TE
Drew Sample,CIN,1.06,TE
Drew Ogletree,IND,1.01,TE
Pharaoh Brown,MIA,1.01,TE
Teagan Quitoriano,ATL,0.86,TE
Gavin Bartholomew,MIN,0.85,TE
Lawrence Cager,WAS,0.85,TE
Lucas Krull,DEN,0.85,TE
Brevyn Spann-Ford,DAL,0.84,TE
Hunter Long,JAC,0.82,TE
Giovanni Ricci,MIN,0.8,TE
Tanner McLachlan,CIN,0.79,TE
Devin Culp,TB,0.77,TE
Charlie Kolar,BAL,0.75,TE
Tanner Conner,MIA,0.75,TE
Jaheim Bell,NE,0.74,TE
Brenden Bates,CLE,0.74,TE
Luke Farrell,SF,0.73,TE
John Bates,WAS,0.72,TE
Eric Saubert,SEA,0.72,TE
Kenny Yeboah,DET,0.72,TE
Quintin Morris,JAC,0.7,TE
Ian Thomas,LV,0.68,TE
Luke Lachey,HOU,0.67,TE
Travis Vokolek,ARI,0.66,TE
Cam Grandy,CIN,0.66,TE
Stone Smartt,NYJ,0.64,TE
Thomas Fidone II,NYG,0.64,TE
Brayden Willis,SF,0.63,TE
Jackson Hawes,BUF,0.62,TE
Moliki Matavao,NO,0.62,TE
Ben Sims,GB,0.62,TE
Jared Wiley,KC,0.61,TE
Greg Dulcich,NYG,0.58,TE
Ross Dwelley,SF,0.57,TE
Durham Smythe,CHI,0.55,TE
Tip Reiman,ARI,0.42,TE
Tre' McKitty,HOU,0.42,TE
Davis Allen,LAR,0.42,TE
Irv Smith Jr.,HOU,0.41,TE
Mo Alie-Cox,IND,0.4,TE
Will Mallory,IND,0.37,TE
Dominique Dafney,CAR,0.37,TE
Mitchell Evans,CAR,0.37,TE
Kylen Granson,PHI,0.34,TE
Tanner Hudson,CIN,0.29,TE
Tucker Fisk,LAC,0.26,TE
Erick All Jr.,CIN,0.25,TE
Jack Stoll,NO,0.23,TE
Zach Davidson,BUF,0.23,TE
David Martin-Robinson,TEN,0.21,TE
Feleipe Franks,ATL,0.2,TE
Blake Whiteheart,CLE,0.2,TE
Chris Manhertz,NYG,0.19,TE
James Mitchell,CAR,0.19,TE
Robert Tonyan,KC,0.09,TE
Nick Vannett,MIN,0.09,TE
Harrison Bryant,PHI,0.05,TE
Tyree Jackson,WAS,0.0,TE
Stephen Carlson,CHI,0.0,TE
Josiah Deguara,ARI,0.0,TE
Dalton Keene,HOU,0.0,TE
Albert Okwuegbunam Jr.,LV,0.0,TE
Sean McKeon,IND,0.0,TE
Shane Zylstra,DET,0.0,TE
Tyler Mabry,CAR,0.0,TE
Ko Kieft,TB,0.0,TE
Cole Turner,WAS,0.0,TE
John FitzPatrick,GB,0.0,TE
Nick Muse,PHI,0.0,TE
Jake Tonges,SF,0.0,TE
Nikola Kalinic,ATL,0.0,TE
Cameron Latu,PHI,0.0,TE
Justin Shorter,LV,0.0,TE
Zack Kuntz,NYJ,0.0,TE
Princeton Fant,DAL,0.0,TE
Cole Fotheringham,NE,0.0,TE
John Stephens Jr.,DAL,0.0,TE
Colson Yankoff,WAS,0.0,TE
Thomas Odukoya,TEN,0.0,TE
E.J. Jenkins,PHI,0.0,TE
Baylor Cupp,BAL,0.0,TE
Jack Westover,NE,0.0,TE
Caleb Lohner,DEN,0.0,TE
Mitchell Wilcox,MIA,0.0,TE
